List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
124,AYU0353,Uttar Pradesh,"Shri Babu Singh Dadduji Ayurvedic Medical College & Hospital Krishna Nagar (Baghar) Kanpur Road,
Fatehgarh- Farrukhabad- 209601,
Uttar Pradesh",Private,"Grant  of  Conditional  with  100  seats  in  UG  (BAMS) course  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
125,AYU0354,Gujarat,"Shri V.M. Mehta Institute of Ayurved,
405, Shilp Tower, Tagore Road, Nr. Bhaktinagar Railway Station, Rajkot, Campus Gardi Vidyapith, Kalavad Road, Village, Anandpur-361162, Rajkot, Gujarat",Private,"Grant  of  Conditional  with  60  seats  in  UG  (BAMS) course  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
126,AYU0355,Haryana,"Faculty of Indian Medical System,
SGT University, Chandu- Budhera,
Gurgaon-122505, Haryana",Private,"Grant  of  Conditional  with  100  seats  in  UG  (BAMS) course  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
127,AYU0356,Uttar Pradesh,"Sri Babu Singh Jay Singh Ayurvedic Medical College & Hospital Bhaupur, Bewar Road, Fatehgarh, Dist. Farrukhabad - 209602, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and  18  seats  in  03  PG  courses  in  the subjects namely (i) Prasuti & Stri Roga - 06 seats (ii) Shalyatantra - 06 seats (iii) Kaumarbhritya-Bala Roga - 06 seats under section 28 of NCISM Act, 2020 for the academic sessioin 2024-25.",100,18,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 18
seats without EWS)"
128,AYU0365,Karnataka,"S.G.E.S,S Dr. N.A. Magadum,
Ayurvedic Medical College & Hospital,
At. Ankali, Tq- Chikodi, Distt. Belgaum,
Karnataka",Private,"Grant of Conditional Permission with intake capacity of 60 seats in UG (BAMS) course and 12 seats in 02 PG courses in the subject namely (i) Prasuti Tantra & Stri Roga-  06  seats  (ii)  Shalya  Tantra-  06  seats  for  the academic session 2024-25, Under section 28 of NCISM Act, 2020 & 2nd Renewal of Permission for increase intake  capacity  from  60  seats  to  100  seats  for  the academic session 2024-25 under section 29 of NCISM
Act, 2020",100,12,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 12
seats without EWS) & 2nd Renewal of Permission (60 to 100 seats)"
129,AYU0370,Uttar Pradesh,"Jeevak Ayurved Medical College & Hospital,
Research Centre, at Kamlapur, Akauni Chandauli,
Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  Course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
130,AYU0371,Karnataka,"Prasanna College of Ayurveda and Hospital,
at Laila, Belthangady-574214, Karnataka",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  Course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
131,AYU0373,Gujarat,"State Model Institute of Ayurveda Sciences, Kolavada, Gandhinagar- 382028, Gujarat",Government,"Grant of Conditional permission for intake capacity with
100  (115  seats  including  EWS)  seats  in  UG  (BAMS) Course  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25 and issuance of Letter of Permission for increase in intake capacity in existing UG (BAMS)  Course from 60 seats to 100 seats under section  29  of  NCISM  Act,  2020  from  the  academic session 2024-25",100,0,0,115,0,0,Conditional Permission (UG - 100 seats without EWS & UG - 115 seats inlcuding EWS) & Letter of Permission (60 to 100 seats)
132,AYU0379,Gujarat,"Indian Institute of Ayurved Research & Hospital, Opp. Hill View Club, Kalawad Road, 50 ft Ishawariya Ring Road,
Rajkot-360110, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25 and 2nd Renewal of   Permission   for   increase   in   intake   capacity   in existing UG (BAMS) Course from 60 seats to 100 seats under   section   29   of   NCISM   Act,   2020   from   the academic session 2024-25",100,0,0,0,0,0,Conditional Permission & Renewal of Permission (UG - 100 seats without EWS)
133,AYU0380,Himachal Pradesh,"Shiva Ayurvedic Medical College and Hospital,
Village Luhanu Kanetain, P.O. Chandpur Tehsil Sadar, Distt. Bilaspur, Himachal Pradesh- 174004",Private,"Grant  of  conditional  permission  with  60  seats  in  UG (BAMS) course and 12 seats (instead of 15 seats) in 03 PG course namely (i) Kriya Sharir - 02 seats (instead of 05 seats) (ii) Rasa Shastra and Bhaisajya Kalpana - 05  seats  (iii)  Ayurveda  Samhita  and  Siddhant  -  05 seats,  under  section  28  of  NCISM  Act,  2020  for  the
academic year 2024-25.",60,12,0,0,0,0,"Conditional Permission  with seat Reduction   (UG - 60 seats, PG - 12 seats without EWS)"
134,AYU0381,Uttar Pradesh,"Glocal College of Ayurvedic Medical Science & Research Centre, Delhi-Yamunotri Marg (State Highway No.-57), Mirzapur, Pole,
Distt. Saharanpur-247122, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
135,AYU0385,Uttarakhand,"Faculty of Ayurveda, Uttarakhand Ayurved University
,
Harrawala, Dehradun-248001, Uttarakhand",Government,"Grant  of  Conditional  Permission  with  intake  capacity with 38 seats (47 seats including EWS) [instead of 60 seats (75 seats including EWS)] in UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",38,0,0,47,0,0,"Conditional Permission  with seat Reduction   (UG - 38 seats without EWS, UG
- 47 seats including EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
136,AYU0392,Maharashtra,"Sai Ayurved College, Hospital and Research Centre, at Gat No. 67, Dhengale- Patil nagar, Solapur- Barshi Highway, Tal- Barshi,
Solapur-413402, Maharashtra",Private,"Grant of Conditional permission for intake capacity with
60  seats  in  UG  (BAMS)  Course  under  section  28  of NCISM  Act,  2020  for  the  academic  session  2024-25 and issuance of Letter of Permission for increase in intake capacity in existing UG (BAMS) Course from 60 seats  to  100  seats  under  section  29  of  NCISM  Act, 2020 from the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) and Issuance of Letter of Permission (60 to 100 seats)
137,AYU0393,Uttarakhand,"Motherhood Ayurveda Medical College,
Village Karoundi, Post Bhagwanpur,
Tehsil-Roorkee, Distt. Haridwar- 247661,
Uttarakhand",Private,"Grant of Conditional Permission for intake capacity with
100  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
138,AYU0397,Gujarat,"Shree Rasiklal Manikchand Dhariwal Ayurved College & Hospital, At Village Wagaldhara, NH-8, Distt. Valsad-396375, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
139,AYU0401,Chhattisgarh,"Bharti Ayurved Medical College & Hospital, Pulgaon Chowk, Durg,
Chhatisgarh-491001",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
140,AYU0403,Uttar Pradesh,"Shree Ram Ayurvedic Medical College and Hospital, Vill.
Dungrawali, Partapur, Bye Pass Road,
Distt. Meerut-250103, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
141,AYU0408,Uttar Pradesh,"Institute of AYUSH Medical Sciences,
Vimalarjun Nagar, Bhagoo Kheda,
Mohanlal Ganj, Lucknow- 261005,
Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
142,AYU0418,Uttar Pradesh,"G.S. Ayurveda Medical College & Hospital,
Village-Peeplabandpur, Near Railway Station,
Pilkhuwa, Distt. Hapur-245304, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
143,AYU0440,Uttar Pradesh,"Divya Jyoti Ayurvedic Medical College & Hospital, Niwari Road, Modinagar,
Distt. Ghaziabad-201204, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission  ( UG- 100 seats without EWS)
144,AYU0442,Gujarat,"Murlidhar Ayurved College, Bhavnagar Road, Kalipat, Distt. Rajkot-360020, Gujarat",Private,"Grant  of  Conditional  permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the  academic session 2024-25 and an opportunity of   rectification   for   the   issuance   of   Letter   of Permission for increase the intake capacity in existing UG (BAMS) Course from 60 seats to 100 seats, under section  29  of  NCISM  Act,  2020  from  the  academic",100,0,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS) & Letter of Permission ( 60 to 100 seats)
145,AYU0451,Maharashtra,"Dr. Rajendra Gode Ayurved College, Hospital & Research Centre, Mardi Road,
Amravati-444602, Maharashtra",Private,"Grant of Conditional permission for intake capacity with
60  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25 and  issuance  of  Letter  of  Permission  for  increase the intake capacity in existing UG (BAMS) course from 60 seats to 100 seats and to start 03 New PG Courses with  12  Seats  in  the  subjects  namely  :-(i)  Shalya Tantra  -04  Seats,  (ii)  Kayachikitsa  -  06  seats  &  (iii) Strirog
Evum  Prasuti  Tantra  -02  seats,  under  section  29  of NCISM Act, 2020 from the academic session 2024-25",100,12,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS) & Letter of Permission ( 60 to 100 seats) & PG - 12  seats without EWS
146,AYU0454,Uttarakhand,"Doon Institute of Medical Sciences, (Faculty of Ayurved) Village Shankarpur, Shahaspur, Th. Vikash Nagar, Distt.
Dehradun-248197, Uttarakhand",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS)
147,AYU0457,Uttarakhand,"Shivalik Institute of Ayurved & Research, Jhajra, Chakrata Road, Dehradun-248007, Uttarakhand",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
148,AYU0471,Gujarat,"Bachubhai Govindbhai Garaiya Ayurved College, Vill. Kalipat, Bhavnagar Highway,
Behind Ashapur Hotel, Distt. Rajkot-360020,
Gujarat",Private,"Grant  of  Conditional  permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for
the  academic  session  2024-25  and  an  opportunity  of rectification for the issuance of Letter of Permission for increase the intake capacity in existing UG (BAMS) Course from 60 seats to 100 seats, under section 29 of
NCISM Act, 2020 from the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) and Issuance of Letter of Permission (60 to 100 seats)
149,AYU0472,Gujarat,"Netra Chikitsa Ayurved College, Chital Road, Amreli-365601, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS)
150,AYU0473,Gujarat,"Global Institute of Ayurveda, Rajkot-Bhavnagar Highway, Nr. Gadhaka Patiyu, Distt. & Tal. Rajkot.
Vill. Tramba, Gujarat-360020",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS)
151,AYU0476,Jammu & Kashmir,"Government Ayurvedic Medical College,
Akhnoor, Indira Chock Jammu, Near MLA Hostel Jammu - 184101, Jammu & Kashmir",Government,"Grant of Conditional Permission with 50 seats (63 seats including EWS) in UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25.",50,0,0,63,0,0,Conditional Permission  ( UG- 63 seats including EWS & UG- 50 seats without EWS)
152,AYU0484,Karnataka,"Jain AGM Ayurveda Medical College & Hospital, At/Post Navagrahateertha, N.H-4 Road, Varur-Chabbi-581207, Tq.
Hubblli,
Distt. Dharward, Karnataka",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act 2020 for the academic session 2024-25 and issuance of Letter of permission (LOP) for increase in  intake  in  capacity  existing  UG  (BAMS)  course  from 60 seats to 100 seats and to start 03 new PG courses with 15 seats in subject namely- (i) Shayla tantra -05 seats,  (ii)  Kaya  Chikitsa  -  05  seats,  (iii)  Ayurveda Samhita  and  Siddhant  -05  seats  under  section  of  29 NCISM act 2020 for the academic session 2024-25",100,15,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS) & Letter of Permission ( 60 to 100 seats) & PG - 15 seats without EWS
153,AYU0486,Madhya Pradesh,"Vijayshree Ayurvedic Medical College and Hospital, JDA Scheme No. 41/65, Gram Basaha (Raingwa), Near Kachpura Railway Station, Post Office- Garha (Main),
Jabalpur-482003, Madhya Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission  ( UG- 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
154,AYU0489,Madhya Pradesh,"L.N. Ayurved College & Hospital, Bhopal, J.K Town, Sarvadharam, C-Sector,
Kolar Road, Bhopal-462042, Madhya Pradesh",Private,"Grant of Conditional Permission for intake capacity with
100  seats  in  UG  (BAMS)  course  for  the  academic session  2024-2025,  under  section  28  of  NCISM  Act, 2020 and issuance of Letter of Permission to start 05 New PG courses with 23 seats in the subject namely
(i)  Ayurved  Samhita  &  Siddhanta-05  seats,  (ii)  Kriya Sharir- 05 seats, (iii) Agad Tantra avum Vidhi Vaidyaka 05 seats, (iv) Swasthavritta-05 seats and (v) Shalakya Tantra-03  seats  from  the  academic  session  2024-25 under section 29 of NCISM Act, 2020",100,23,0,0,0,0,Conditional Permission  ( UG- 100 seats without EWS) & Letter of Permission 05 new PG Course
155,AYU0494,Maharashtra,"Bhausaheb Mulak Ayurved College & Research Hospital, Plot No. P-73, R&C Zone, MIDC, Butibori,
Nagpur-441122, Maharashtra",Private,"Grant  of  Conditional  Permission  for  100  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission  ( UG - 100 seats without EWS)
156,AYU0496,Maharashtra,"Swami Vivekanand Ayurved Medical College & Research Centre, Pargaon, Sudrik, Shrigonda,
Ahmednagar-413701, Maharashtra",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission  ( UG - 60 seats without EWS)
157,AYU0499,Uttar Pradesh,"Kalawati Ayurvedic Medical College & Research Centre & Hospital, Gorha,
Kasganj-207123, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission  ( UG - 60 seats without EWS)
158,AYU0503,Uttar Pradesh,"Sanskriti Ayurvedic Medical College & Hospital, Chhata Mathura,
28 KM. Stone, Mathura Delhi Highway Chhata, Mathura- 281401,
Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS) Course and 10 - Seats in 02 PG Courses in the subject namely i) Prasuti & Stri Roga - 05 seats, ii) Shalyatantra 05 seats under section 28 of NCISM Act, 2020 for the academic session 2024-25",100,10,0,0,0,0,Conditional Permission (UG - 100 seats & PG - 10 seats without EWS)
